"","location_long","location_lat"
"419",-110.2558055,44.9023324
"420",-110.2620443,44.9037789
"421",-110.2561913,44.9003789
"422",-110.2620132,44.9037714
"423",-110.2629922,44.9056828
"424",-110.2620196,44.906995
"425",-110.2544046,44.9002113
"426",-110.2556308,44.897258
"427",-110.2590296,44.899525
"428",-110.2602287,44.9020061
"429",-110.2556608,44.8975701
"430",-110.2601665,44.9027347
"431",-110.261919,44.9036768
"432",-110.2619311,44.9038134
"433",-110.2617539,44.9031039
"434",-110.2555177,44.9018457
"435",-110.2537064,44.8957912
"436",-110.2609385,44.8978283
"437",-110.2686673,44.9107973
"438",-110.2590085,44.9063661
"439",-110.2601554,44.8951837
"440",-110.2620592,44.9037784
"441",-110.262102,44.9037098
"442",-110.2589601,44.9035979
"443",-110.2672863,44.9067426
"444",-110.2607201,44.9034204
"445",-110.2567256,44.9004494
"446",-110.2622723,44.9081371
"447",-110.257414,44.9047499
"448",-110.2541807,44.8967861
"449",-110.26068,44.9033841
"450",-110.2480214,44.9033368
"451",-110.2564557,44.9004975
"452",-110.2618232,44.9035323
"453",-110.2617241,44.9033747
"454",-110.2632511,44.9053734
"455",-110.2545722,44.9023633
"456",-110.2526363,44.9012492
"457",-110.2605419,44.9033204
"458",-110.2578845,44.9047791
"459",-110.2505418,44.9060791
"460",-110.2594463,44.9058429
"461",-110.2620352,44.9038225
"462",-110.2674643,44.9032093
"463",-110.2643956,44.9018043
"464",-110.2615743,44.901762
"465",-110.2526254,44.8943861
"466",-110.2650506,44.9029809
"467",-110.2525254,44.894386
"468",-110.2569959,44.8965495
"469",-110.2550232,44.900616
"470",-110.2559803,44.8965045
"471",-110.2525497,44.8947834
"472",-110.2518461,44.9056222
"473",-110.2526419,44.8944047
"474",-110.2621586,44.9038045
"475",-110.2563802,44.9051269
"476",-110.2631455,44.9055887
"477",-110.2620766,44.9037689
"478",-110.2526131,44.8943605
"479",-110.2526159,44.894374
"480",-110.2629358,44.9050048
"481",-110.2659293,44.8993457
"482",-110.2619532,44.9037918
"483",-110.2525984,44.8943709
"484",-110.2584732,44.902364
"485",-110.2549982,44.9008022
"486",-110.2717921,44.9089538
"487",-110.2543318,44.8969759
"488",-110.2554854,44.8974715
"489",-110.2598707,44.9047382
"490",-110.2607409,44.9033976
"491",-110.2553386,44.9012959
"492",-110.265454,44.9022879
"493",-110.2616262,44.9071216
"494",-110.2628186,44.9058373
"495",-110.2623212,44.9036603
"496",-110.2493946,44.9031267
"497",-110.2681827,44.9033513
"498",-110.2622601,44.9037386
"499",-110.2631961,44.9056138
"500",-110.2606544,44.9053676
"501",-110.2619865,44.903695
"502",-110.2467623,44.9045452
"503",-110.2620519,44.903772
"504",-110.2563739,44.9024543
"505",-110.2568296,44.9073809
"506",-110.257963,44.9027033
"507",-110.2630676,44.9044642
"508",-110.2622377,44.9081985
"509",-110.258161,44.9030803
"510",-110.2553769,44.9022645
"511",-110.2614517,44.8960877
